tick,bonds.long.interest,bonds.long.minimum,bonds.long.term,bonds.mid.interest,bonds.mid.minimum,bonds.mid.term,bonds.short.interest,bonds.short.minimum,bonds.short.term,cds.long.interest,cds.long.minimum,cds.long.term,cds.mid.interest,cds.mid.minimum,cds.mid.term,cds.short.interest,cds.short.minimum,cds.short.term,crop.adjusted,crop.value,fund.adjusted,fund.value,gold.adjusted,gold.value,savings.rate,stocks.1595.adjusted,stocks.1595.value,stocks.1667.adjusted,stocks.1667.value,stocks.1671.adjusted,stocks.1671.value,stocks.1673.adjusted,stocks.1673.value,stocks.1675.adjusted,stocks.1675.value,stocks.1677.adjusted,stocks.1677.value,stocks.1679.adjusted,stocks.1679.value,stocks.1681.adjusted,stocks.1681.value,stocks.1683.adjusted,stocks.1683.value,stocks.1685.adjusted,stocks.1685.value,stocks.1687.adjusted,stocks.1687.value,stocks.1689.adjusted,stocks.1689.value,stocks.1691.adjusted,stocks.1691.value,stocks.1693.adjusted,stocks.1693.value,stocks.1695.adjusted,stocks.1695.value,stocks.1699.adjusted,stocks.1699.value,stocks.1701.adjusted,stocks.1701.value,stocks.1703.adjusted,stocks.1703.value,stocks.1705.adjusted,stocks.1705.value,stocks.232.adjusted,stocks.232.value,stocks.280.adjusted,stocks.280.value,stocks.282.adjusted,stocks.282.value,stocks.283.adjusted,stocks.283.value,stocks.284.adjusted,stocks.284.value,stocks.287.adjusted,stocks.287.value,stocks.288.adjusted,stocks.288.value,stocks.289.adjusted,stocks.289.value,stocks.290.adjusted,stocks.290.value,stocks.291.adjusted,stocks.291.value,stocks.292.adjusted,stocks.292.value,stocks.297.adjusted,stocks.297.value,stocks.298.adjusted,stocks.298.value,stocks.300.adjusted,stocks.300.value,stocks.301.adjusted,stocks.301.value,stocks.302.adjusted,stocks.302.value,stocks.303.adjusted,stocks.303.value,stocks.304.adjusted,stocks.304.value,stocks.305.adjusted,stocks.305.value,stocks.306.adjusted,stocks.306.value,stocks.307.adjusted,stocks.307.value,stocks.45.adjusted,stocks.45.value
136,14.05,1000,120,14.37,500,60,15.04,250,12,21.27,1000,36,20.27,500,12,18.27,250,3,12.46,4.45,2273.42,811.53,1342.91,479.37,9.1744,,,,,,,,,,,,,,,,,,,6.1,2.18,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.66,9.88,,,,,,,,,,,,,,,,,,
137,13.46,1000,120,13.99,500,60,15.13,250,12,19.9,1000,36,18.9,500,12,16.9,250,3,11.22,4.04,2258.05,813.23,1275.45,459.35,9.8345,,,,,,,,,,,,,,,,,,,5.86,2.11,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.46,10.25,,,,,,,,,,,,,,,,,,
138,14.04,1000,120,14.47,500,60,15.2,250,12,20.76,1000,36,19.76,500,12,17.76,250,3,2.17,0.79,360.34,131.21,1122.16,408.61,8.36,,,,,,,10.99,4,,,,,,,,,,,5.74,2.09,,,,,,,,,10.76,3.92,,,0,0,58.74,21.39,,,,,,,,,,,,,5.62,2.05,,,,,,,,,,,,,28.15,10.25,,,,,,,,,,,,,,,,,,
139,14.67,1000,120,15.24,500,60,16.12,250,12,20.96,1000,36,19.96,500,12,17.96,250,3,2.04,0.75,354.34,130.01,1119.91,410.91,9.9944,,,,,,,10.99,4.03,,,,,,,,,,,5.39,1.98,,,,,,,,,9.31,3.42,,,0,0,59.72,21.91,,,,,,,,,,,,,4.94,1.81,,,,,,,,,,,,,32.36,11.88,,,,,,,,,,,,,,,,,,
140,15.41,1000,120,16.12,500,60,17.06,250,12,19.84,1000,36,18.84,500,12,16.84,250,3,1.82,0.68,331.42,122.79,1198.67,444.1,9.2124,,,,,,,10.8,4,,,,,,,,,,,5.58,2.07,,,,,,,,,8.27,3.06,,,0,0,52.05,19.28,,,,,,,,,,,,,4.55,1.69,,,,,,,,,,,,,29.02,10.75,,,,,,,,,,,,,,,,,,
141,15.75,1000,120,16.13,500,60,16.59,250,12,18.39,1000,36,17.39,500,12,15.39,250,3,1.74,0.65,312.57,116.18,1177.33,437.6,10.7835,,,,,,,10.76,4,,,,,,,,,,,5.14,1.91,,,,,,,,,7.29,2.71,,,0,0,55.65,20.69,,,,,,,,,,,,,4.54,1.69,,,,,,,,,,,,,29.59,11,,,,,,,,,,,,,,,,,,
142,14.63,1000,120,14.78,500,60,14.31,250,12,15.48,1000,36,14.48,500,12,12.48,250,3,1.77,0.66,318.96,119.06,1105.63,412.71,9.1584,,,,,,,12.56,4.69,,,,,,,,,,,5.3,1.98,,,,,,,,,8.59,3.21,,,0,0,55.89,20.86,,,,,,,,,,,,,4.77,1.78,,,,,,,,,,,,,30.47,11.38,,,,,,,,,,,,,,,,,,
143,13.37,1000,120,13.11,500,60,12.13,250,12,15.49,1000,36,14.49,500,12,12.49,250,3,1.7,0.64,337.41,126.35,1095.67,410.3,7.6419,,,,,,,9.93,3.72,,,,,,,,,,,5.04,1.89,,,,,,,,,7.57,2.83,,,0,0,61.82,23.15,,,,,,,,,,,,,5.09,1.91,,,,,,,,,,,,,33.05,12.38,,,,,,,,,,,,,,,,,,
144,13.98,1000,120,13.97,500,60,13.35,250,12,16.51,1000,36,15.51,500,12,13.51,250,3,1.71,0.64,325.55,122.3,1022.05,383.95,8.4105,,,,,,,10.48,3.94,,,,,,,,,,,5.15,1.93,,,,,,,,,7.82,2.94,,,0,0,62.06,23.32,,,,,,,,,,,,,4.95,1.86,,,,,,,,,,,,,32.94,12.38,,,,,,,,,,,,,,,,,,
145,14.58,1000,120,14.79,500,60,15.08,250,12,18,1000,36,17,500,12,15,250,3,1.74,0.65,317.92,119.81,991.53,373.67,7.9924,,,,,,,9.95,3.75,,,,,,,,,,,5.01,1.89,,,,,,,,,8.57,3.23,,,0,0,60.47,22.79,,,,,,,,,,,,,4.98,1.88,,,,,,,,,,,,,30.85,11.63,,,,,,,,,,,,,,,,,,
146,13.85,1000,120,13.97,500,60,13.93,250,12,17.21,1000,36,16.21,500,12,14.21,250,3,1.73,0.65,300.14,113.11,874.35,329.51,8.2188,43.85,16.52,,,,,9.87,3.72,,,,,,,,,,,5.25,1.98,,,,,,,,,8.4,3.17,,,0,0,60.94,22.97,,,,,,,,,,,,,4.81,1.81,,,0,0,,,,,,,,,29.85,11.25,,,,,22.06,8.31,,,,,,,,,7.37,2.78,,
147,14.1,1000,120,14.26,500,60,14.21,250,12,17.44,1000,36,16.44,501,12,14.44,250,3,3.57,1.35,296.15,111.96,927.54,350.66,7.105,42.98,16.25,,,,,9.34,3.53,,,,,,,,,,,5.58,2.11,,,,,,,,,9.92,3.75,,,0,0,56.57,21.39,,,,,,,,,,,,,4.59,1.73,,,0,0,,,,,,,,,30.75,11.63,,,,,22.07,8.34,,,,,,,,,6.86,2.59,18.02,6.81
148,13.87,1000,120,13.9,500,60,13.67,250,12,16.8,1000,36,15.8,500,12,13.8,250,3,3.45,1.32,304.5,116.21,873.11,333.21,6.9717,39.85,15.21,,,,,9.99,3.81,,,,,,,,,,,5.47,2.09,,,,,,,,,10.86,4.15,,,0,0,62.01,23.67,,,,,,,,,,,,,4.54,1.73,,,0,0,,,,,,,,,31.12,11.88,,,,,22.52,8.59,0,0,,,1.51,0.58,,,7.42,2.83,17.93,6.84
149,13.93,1000,120,13.98,500,60,13.37,250,12,17.46,1000,36,16.46,500,12,14.46,250,3,3.46,1.34,290.07,111.97,815.49,314.79,9.2253,34.98,13.5,,,,,10.12,3.91,,,,,,,,,,,5.41,2.09,,,,,,,,,10.15,3.92,,,0,0,61.31,23.67,,,,,,,,,,,,,4.29,1.66,,,0,0,,,,,,,,,32.06,12.38,,,,,24.04,9.28,0,0,,,1.46,0.56,,,6.52,2.52,16.51,6.38
150,14.4,1000,120,14.62,500,60,14.24,250,12,16.44,1000,36,15.44,500,12,13.44,250,3,3.4,1.32,282.27,109.52,876.02,339.9,8.2592,35.94,13.94,,,,,9.83,3.81,,,,,,,,,,,5.38,2.09,,,,,,,9.63,3.74,10.42,4.04,,,0,0,55.57,21.56,8.05,3.13,,,,,,,,,,,4.11,1.59,,,0,0,,,,,11.85,4.6,,,31.25,12.13,,,,,20.22,7.84,0,0,,,1.45,0.56,,,5.92,2.3,16.95,6.58
151,13.68,1000,120,13.73,500,60,12.56,250,12,13.61,1000,36,12.61,500,12,10.61,250,3,3.26,1.27,276.11,107.35,940.1,365.51,7.9128,33.75,13.12,,,,,10.69,4.16,,,,,,,,,,,5.6,2.18,,,,,,,9.68,3.76,11.47,4.46,,,0,0,55.46,21.56,8.36,3.25,,,,,,,,,,,3.86,1.5,,,0,0,,,,,11.35,4.41,,,30.22,11.75,,,,,17.92,6.97,0,0,,,1.46,0.57,,,6.1,2.37,17.12,6.66
152,12.76,1000,120,12.58,500,60,11.21,250,12,13.66,1000,36,12.66,500,12,10.66,250,3,3.24,1.26,307.41,119.52,1124.59,437.24,7.847,38.55,14.99,,,,,12.14,4.72,,,,,,,,,,,5.32,2.07,,,,,,,10.9,4.24,12.97,5.04,,,0,0,59.97,23.32,8.04,3.13,,,,,,,,,,,4.26,1.66,,,0,0,,,,,12.15,4.72,,,29.26,11.38,,,,,19.85,7.72,0,0,,,1.49,0.58,,,9.05,3.52,19.61,7.63
153,11.51,1000,120,11.5,500,60,10.05,250,12,12.51,1000,36,11.51,500,12,9.51,250,3,13.54,5.29,1896.22,740.27,1082.84,422.73,6.03,37.12,14.49,,,,,12.17,4.75,,,,,,,,,,,5.29,2.07,,,2.51,0.98,,,10.78,4.21,11.37,4.44,,,0,0,65.14,25.43,11.53,4.5,,,,,,,,,,,4.72,1.84,,,0,0,,,,,11.38,4.44,,,38.1,14.88,,,,,22.01,8.59,0,0,,,1.59,0.62,,,7.87,3.07,20.69,8.08
154,10.56,1000,120,10.41,500,60,9.03,250,12,11.95,1000,36,10.95,500,12,8.95,250,3,14.15,5.52,2112.62,823.91,1064.66,415.21,4.6956,42.65,16.63,,,,,14.26,5.56,,,,,,,,,,,5.3,2.07,,,2.68,1.05,,,11.93,4.65,15.22,5.94,,,0,0,74.17,28.93,12.82,5,,,,,,,,,,,6.25,2.44,,,0,0,,,,,11.95,4.66,,,47.12,18.38,,,,,23.08,9,0,0,,,1.88,0.73,,,10.4,4.06,23.36,9.11
155,10.74,1000,120,10.34,500,60,9.38,250,12,11.66,1000,36,10.66,500,12,8.66,250,3,14.7,5.71,2179.19,847.27,1143,444.4,5.5342,43.91,17.07,,,,,15.03,5.84,,,,,,,,,,,5.6,2.18,,,2.78,1.08,,,13.04,5.07,16.08,6.25,,,23.15,9,74.4,28.93,25.72,10,,,,,,,,,,,5.95,2.31,,,0,0,,,,,12.71,4.94,,,47.9,18.63,,,,,21.86,8.5,0,0,,,2.27,0.88,,,12.34,4.8,23.79,9.25
156,10.36,1000,120,10.09,500,60,8.68,250,12,11.36,1000,36,10.36,500,12,8.36,250,3,14.67,5.71,2199.18,856.79,1239.13,482.76,5.3816,42.27,16.47,,,,,15.56,6.06,,,,,,,,,,,5.53,2.16,,,2.78,1.08,,,12.51,4.88,16.2,6.31,,,25.35,9.88,77.84,30.33,30.16,11.75,,,,,,,,,,,6.18,2.41,,,0,0,,,,,13.32,5.19,,,49.41,19.25,,,,,22.78,8.88,0,0,,,2.3,0.89,,,12.79,4.98,24.18,9.42
157,10.78,1000,120,10.34,500,60,8.93,250,12,11.54,1000,36,10.54,500,12,8.54,250,3,15.42,6.01,2239.78,873.5,1253.22,488.75,4.5543,41.1,16.03,,,,,15.14,5.91,,,,,,,,,,,5.58,2.18,,,2.9,1.13,,,11.15,4.35,23.08,9,,,23.24,9.06,97.09,37.87,35.26,13.75,,,,,,,,,,,6.25,2.44,,,0,0,,,,,13.06,5.1,,,50.96,19.88,,,,,23.56,9.19,0,0,,,2.22,0.87,,,13.87,5.41,24.16,9.42
158,10.22,1000,120,9.74,500,60,8.58,250,12,11.69,1000,36,10.69,500,12,8.69,250,3,14.81,5.78,2354.48,919.17,1075.69,419.94,5.4054,43.45,16.96,,,,,16.25,6.34,,,,,,,,,,,5.58,2.18,,,2.89,1.13,,,12.49,4.88,23.37,9.13,,,25.78,10.06,92.5,36.11,33.3,13,,,,,,,,,,,6.96,2.72,,,0,0,,,,,14.4,5.62,,,49.95,19.5,,,,,25.46,9.94,0,0,,,2.28,0.89,,,13.95,5.44,25.34,9.89
159,10.62,1000,120,10.27,500,60,9.34,250,12,11.63,1000,36,10.63,500,12,8.63,250,3,16.2,6.37,2367.4,930.81,1101.23,432.98,5.7908,47.75,18.77,,,,,19.87,7.81,,,,,,,,,,,7.01,2.76,,,3.07,1.21,,,13.49,5.31,22.89,9,,,26.23,10.31,87.39,34.36,27.34,10.75,,,,,,,,,,,7.39,2.91,,,0,0,35.89,14.11,,,14.62,5.75,,,59.13,23.25,,,,,27.02,10.63,0,0,,,2.51,0.99,,,15.31,6.02,25.27,9.94
160,10.27,1000,120,9.88,500,60,8.75,250,12,11.49,1000,36,10.49,500,12,8.49,250,3,16.56,6.54,2524.99,996.79,1108.04,437.42,4.8125,53.12,20.97,,,,,21.77,8.59,,,,,,,7.74,3.06,,,8.39,3.31,,,3.32,1.31,,,14.25,5.63,23.83,9.41,27.65,10.92,28.66,11.31,81.71,32.26,27.86,11,,,,,,,,,,,8.39,3.31,,,0,0,40.21,15.87,,,15.27,6.03,,,51.93,20.5,,,,,29.53,11.66,0,0,,,2.61,1.03,,,14.59,5.76,26.87,10.61
161,10.77,1000,120,10.48,500,60,9.39,250,12,12.2,1000,36,11.2,500,12,9.2,250,3,15.35,6.07,2516.17,995.31,1044.03,412.98,4.8828,51.07,20.2,,,,,24.17,9.56,,,,,7.41,2.93,7.58,3,,,8.15,3.22,,,3.07,1.21,,,13.83,5.47,30.73,12.16,28.96,11.46,27.65,10.94,92.18,36.46,27.18,10.75,,,,,,,,,,,8.33,3.3,,,0,0,47.34,18.73,,,16.73,6.62,,,54.35,21.5,,,,,29.15,11.53,0,0,,,2.57,1.02,36.38,14.39,14.98,5.93,27.37,10.83
162,10.93,1000,120,10.72,500,60,9.67,250,12,12.5,1000,36,11.5,500,12,9.5,250,3,15.52,6.16,2606.7,1035.27,1064.06,422.6,5.6086,52.39,20.81,,,,,12.59,5,,,,,7.14,2.83,6.99,2.78,,,8.6,3.42,,,3.39,1.35,,,13.39,5.32,40.76,16.19,34.23,13.59,27.38,10.88,89.16,35.41,25.18,10,,,,,,,,,,,8.34,3.31,,,0,0,45.72,18.16,,,15.57,6.18,,,51.93,20.63,,,,,31.95,12.69,0,0,,,2.71,1.08,32.13,12.76,17.07,6.78,26.44,10.5
163,11.8,1000,120,11.63,500,60,10.53,250,12,12.77,1000,36,11.77,500,12,9.77,250,3,18.44,7.34,2492.73,992.98,1045.16,416.34,6.2127,50.16,19.98,,,,,13.18,5.25,,,,,6.55,2.61,6.83,2.72,,,8.02,3.19,,,3.41,1.36,,,11.44,4.56,37.03,14.75,33.65,13.4,26.83,10.69,88.02,35.06,22.59,9,,,,,,,,,,,8.12,3.23,,,0,0,43.1,17.17,,,15.29,6.09,,,51.15,20.38,,,,,30.52,12.16,0,0,,,2.77,1.1,32.65,13.01,15.48,6.17,24.79,9.88
164,11.97,1000,120,11.76,500,60,10.57,250,12,12.39,1000,36,11.39,500,12,9.39,250,3,22.06,8.81,2509.63,1002.71,1029.12,411.18,6.5534,49.19,19.65,,,,,12.28,4.91,,,,,6.5,2.6,5.98,2.39,,,7.58,3.03,,,3.3,1.32,,,11.71,4.68,40.05,16,32.95,13.17,29.1,11.63,84.24,33.66,16.89,6.75,,,,,,,,,,,8.41,3.36,,,0,0,42.33,16.91,,,17.18,6.87,,,52.56,21,,,,,35.67,14.25,0,0,,,2.58,1.03,33.48,13.38,14.09,5.63,24.52,9.8
165,11.44,1000,120,11.2,500,60,9.89,250,12,12.18,1000,36,11.18,500,12,9.18,250,3,21.59,8.66,2536.84,1017.62,980.49,393.31,5.2417,46.67,18.72,,,,,11.84,4.75,,,,,6.26,2.51,6.79,2.72,,,8.03,3.22,,,3.41,1.37,,,12.22,4.9,38.64,15.5,34.95,14.02,29.45,11.81,90.03,36.11,23.37,9.38,,,,,,,,,,,8.06,3.23,,,0,0,45.26,18.16,,,17.74,7.11,,,54.22,21.75,,,,,33.11,13.28,0,0,,,2.73,1.09,33.27,13.34,14.36,5.76,25.83,10.36
166,11.69,1000,120,11.38,500,60,9.9,250,12,12.36,1000,36,11.36,500,12,9.36,250,3,20.94,8.43,2479.11,997.42,949.92,382.18,6.336,49.94,20.09,,,,,11.81,4.75,,,,,6.93,2.79,7.59,3.06,,,8.15,3.28,,,3.56,1.43,,,12.7,5.11,36.97,14.88,32.79,13.19,29.83,12,92.37,37.16,22.06,8.88,,,,,,,,,,,7.34,2.95,,,0,0,44.35,17.84,,,16.91,6.8,,,55.61,22.38,,,,,30.91,12.44,0,0,,,2.66,1.07,30.18,12.14,14.04,5.65,26.33,10.59
167,11.63,1000,120,11.37,500,60,9.99,250,12,12.69,1000,36,11.69,500,12,9.69,250,3,20.15,8.13,2520.52,1017.09,961.6,388.03,5.5944,52.51,21.19,,,,,12.12,4.89,,,,,6.77,2.73,8.95,3.61,,,9.02,3.64,,,3.11,1.26,,,12.39,5,41.97,16.94,35.12,14.17,32.99,13.31,87.76,35.41,18.28,7.38,,,,,,,,,,,7.78,3.14,,,0,0,50.14,20.23,,,18.32,7.39,,,54.21,21.88,,,,,29.04,11.72,0,0,,,2.54,1.02,35.82,14.45,16.75,6.76,26.52,10.7
168,11.82,1000,120,11.57,500,60,10.08,250,12,12.42,1000,36,11.42,500,12,9.42,250,3,20.41,8.29,2476.95,1006.41,912.6,370.8,6.048,53.77,21.85,,,,,11,4.47,,,,,6.61,2.69,9.02,3.67,,,8.96,3.64,,,3.14,1.28,,,11.96,4.86,41.69,16.94,33.79,13.73,33.23,13.5,84.57,34.36,20.3,8.25,,,,,,,,,,,8.42,3.42,,,0,0,47.75,19.4,,,18.5,7.52,,,57.84,23.5,,,,,27.53,11.19,0,0,,,2.42,0.98,35.73,14.52,16.04,6.52,25.46,10.34
169,11.64,1000,120,11.31,500,60,9.8,250,12,12.54,1000,36,11.54,500,12,9.54,250,3,18.09,7.39,2432.5,993.19,946.78,386.57,6.174,47.19,19.27,,,,,11.02,4.5,,,,,6.48,2.65,8.57,3.5,,,9.18,3.75,,,3.07,1.26,,,11.09,4.53,35.67,14.56,29.72,12.14,30.61,12.5,85.07,34.73,20.82,8.5,,,,,,,,,,,8.5,3.47,,,0,0,52.6,21.48,,,18.79,7.67,,,54.49,22.25,,,,,28.62,11.69,0,0,,,2.44,1,32.53,13.28,16.15,6.59,23.8,9.72
170,12.07,1000,120,11.77,500,60,10.28,250,12,13.08,1000,36,12.08,500,12,10.08,250,3,18.75,7.68,2351.56,962.95,962.48,394.13,5.5512,43.44,17.79,,,,,9.69,3.97,,,,,5.99,2.45,8.28,3.39,,,9.16,3.75,,,2.88,1.18,,,11.16,4.57,34.65,14.19,28.56,11.7,30.53,12.5,83.05,34.01,21.06,8.63,,,,,,,,,,,7.75,3.17,,,0,0,49.28,20.18,,,16.39,6.71,,,47.93,19.63,,,,,28.85,11.81,0,0,,,2.27,0.93,29.73,12.17,15.6,6.39,22.97,9.41
171,12.53,1000,120,12.28,500,60,10.8,250,12,13.41,1000,36,12.41,500,12,10.41,250,3,19.19,7.89,2357.88,969.29,926.6,380.91,5.94,44.47,18.28,,,,,9.27,3.81,,,,,5.84,2.4,9.46,3.89,,,9.53,3.92,,,2.76,1.14,,,11.79,4.85,34.97,14.38,28.79,11.83,28.13,11.56,73.35,30.15,19.76,8.13,,,,,,,,,,,7.72,3.17,,,0,0,47.2,19.4,,,18.52,7.61,,,46.22,19,,,,,28.58,11.75,0,0,,,2.3,0.95,32.69,13.44,13.83,5.69,22.27,9.16
172,12.82,1000,120,12.57,500,60,11.08,250,12,14.11,1000,36,13.11,500,12,11.11,250,3,19.19,7.9,2384.13,981.98,917.28,377.81,5.8724,43.32,17.84,,,,,9.18,3.78,,,,,6.16,2.54,9.98,4.11,,,8.83,3.64,,,3.01,1.24,,,10.49,4.32,41.88,17.25,29.83,12.29,28.98,11.94,81.72,33.66,20.03,8.25,,,,,,,,,,,7.63,3.14,,,0,0,45.34,18.67,,,17.5,7.21,,,49.16,20.25,,,,,29.36,12.09,0,0,,,2.44,1,32.92,13.56,13.49,5.56,22.95,9.45
173,13.63,1000,120,13.46,500,60,11.96,250,12,14.34,1000,36,13.34,500,12,11.34,250,3,20.03,8.27,2258.86,932.18,913.79,377.1,8.1328,39.91,16.47,,,,,9.31,3.84,,,,,6.32,2.61,9.56,3.94,,,8.48,3.5,,,2.69,1.11,,,9.15,3.78,38.77,16,25.75,10.63,27.41,11.31,81.56,33.66,18.17,7.5,,,,,,,,,,,7.12,2.94,,,0,0,43.12,17.79,,,15.88,6.56,,,47.86,19.75,,,,,27.72,11.44,0,0,,,2.42,1,27.93,11.53,14,5.78,22.72,9.38
174,13.84,1000,120,13.72,500,60,12.3,250,12,14.56,1000,36,13.56,500,12,11.56,250,3,18.15,7.52,2255.8,934.51,837.04,346.76,7.995,41.21,17.07,,,,,9.96,4.13,,,5.2,2.15,6.48,2.69,9.79,4.06,,,8.38,3.47,,,3.01,1.24,,,8.42,3.49,37.42,15.5,23.47,9.72,28.06,11.63,81.25,33.66,18.41,7.63,,,,,,,,,,,7.24,3,,,0,0,46.33,19.19,,,14.77,6.12,,,47.07,19.5,,,40.73,16.88,26.1,10.81,0,0,,,2.36,0.98,29.09,12.05,15.65,6.48,23.16,9.59
175,12.81,1000,120,12.74,500,60,11.82,250,12,14.47,1000,36,13.47,500,12,11.47,250,3,14.89,6.18,2254.4,936.62,837.14,347.8,6.8556,35.94,14.93,,,,,8.42,3.5,,,4.89,2.03,6.34,2.63,9.36,3.89,,,7.96,3.31,,,2.95,1.23,,,7.99,3.32,34.9,14.5,25.94,10.78,30.24,12.56,73.42,30.5,18.05,7.5,,,,,,,,,,,7.48,3.11,,,0,0,43.2,17.95,,,13.46,5.59,,,54.16,22.5,,,42.72,17.75,26.85,11.16,0,0,,,2.28,0.95,29.08,12.08,16.76,6.96,22.94,9.53
176,12.79,1000,120,12.77,500,60,11.96,250,12,14.29,1000,36,13.29,500,12,11.29,250,3,15.26,6.36,2432.7,1013.6,818.71,341.12,7.5348,40.58,16.91,,,,,8.63,3.59,,,5.78,2.41,6.79,2.83,9.33,3.89,,,8.07,3.36,,,3.17,1.32,,,9.67,4.03,47.1,19.63,31.21,13,31.05,12.94,84.15,35.06,18.9,7.88,,,,,,,,,,,8.63,3.59,,,0,0,47.19,19.66,,,14.69,6.12,,,58.8,24.5,,,43.8,18.25,28.8,12,0,0,,,2.65,1.11,33.14,13.81,19.07,7.94,24.71,10.3
177,12.54,1000,120,12.51,500,60,11.44,250,12,13.38,1000,36,12.38,500,12,10.38,250,3,14.1,5.9,2400.68,1004.08,812.72,339.92,7.436,39.24,16.41,,,,,9.34,3.91,7.02,2.94,5.45,2.28,6.79,2.84,10.1,4.22,,,8.04,3.36,,,2.75,1.15,,,9.66,4.04,40.94,17.13,25.95,10.85,29.44,12.31,83.04,34.73,20.32,8.5,,,,,,,,,28.53,11.93,8.89,3.72,,,0,0,48.37,20.23,,,14.71,6.15,,,63.96,26.75,,,46.03,19.25,27.65,11.56,0,0,,,2.81,1.18,29.62,12.39,19.04,7.96,22.6,9.45
178,11.66,1000,120,11.45,500,60,10.18,250,12,12.18,1000,36,11.18,500,12,9.18,250,3,15.36,6.43,2434.47,1020.15,813.95,341.08,6.8206,37.34,15.65,,,,,9.99,4.19,6.86,2.88,5.24,2.2,6.66,2.79,10.61,4.44,,,8.22,3.44,,,2.75,1.15,,,9.94,4.17,38.48,16.13,25.18,10.55,30.58,12.81,92.04,38.57,17.3,7.25,,,,,,,,,29.9,12.53,9.88,4.14,,,0,0,47.66,19.97,,,13.94,5.84,,,68.01,28.5,,,48.92,20.5,26.25,11,0,0,,,3.13,1.31,29.71,12.45,20.51,8.59,24.35,10.2
179,11.58,1000,120,11.25,500,60,9.71,250,12,11.6,1000,36,10.6,500,12,8.6,250,3,14.51,6.09,2374.95,997.1,761.15,319.56,6.1173,38.97,16.36,,,,,9.45,3.97,7.44,3.13,5.62,2.36,6.15,2.58,12.97,5.44,,,9.46,3.97,,,2.75,1.15,,,10.62,4.46,32.45,13.63,22.62,9.5,31.86,13.38,100.21,42.07,14.89,6.25,,,,,,,,,29.46,12.37,9.45,3.97,,,0,0,48.68,20.44,,,14.73,6.18,,,65.5,27.5,,,48.53,20.38,24.86,10.44,0,0,,,3.18,1.34,29.66,12.45,19.32,8.11,23.37,9.81
180,11.55,1000,120,11.08,500,60,9.22,250,12,11.14,1000,36,10.14,500,12,8.14,250,3,13.85,5.83,2422.76,1019.1,718.55,302.25,4.7944,39.54,16.63,,,,,9.29,3.91,6.83,2.88,5.84,2.46,6.17,2.6,18.09,7.61,,,9.38,3.94,,,2.75,1.16,,,11.72,4.93,35.21,14.81,25.09,10.55,31.95,13.44,95.02,39.97,16.05,6.75,,,,,,,,,29.79,12.53,10.62,4.47,,,0,0,49.58,20.85,,,15.29,6.43,,,63,26.5,,,50.22,21.13,24.81,10.44,0,0,,,3.32,1.4,31.5,13.25,19.81,8.33,23.48,9.88
181,11.29,1000,120,10.93,500,60,9.21,250,12,11.69,1000,36,10.69,500,12,8.69,250,3,14.34,6.07,2580.3,1091.53,705.21,298.32,6.0786,44.51,18.83,,,,,10.86,4.59,7.24,3.06,6.42,2.71,6.72,2.84,19.31,8.17,,,9.59,4.06,,,3.12,1.32,,,12.02,5.08,40.93,17.31,25.93,10.97,32.95,13.94,98.63,41.72,19.5,8.25,,,,,,,,,30.14,12.75,11.01,4.66,,,0,0,49.79,21.06,,,15.79,6.68,,,74.46,31.5,,,50.53,21.38,26.15,11.06,0,0,,,3.62,1.53,31.62,13.38,21.84,9.24,24.82,10.5
182,11.86,1000,120,11.52,500,60,9.87,250,12,12.02,1000,36,11.02,500,12,9.02,250,3,13.56,5.76,2638.13,1121.24,716.38,304.47,5.6259,47.27,20.09,,,,,11.1,4.72,7.94,3.38,5.89,2.5,6.7,2.85,22.22,9.44,,,10.26,4.36,,,3.16,1.34,,,12.91,5.49,39.26,16.69,24.56,10.44,32.35,13.75,94.87,40.32,23.53,10,,,,,,,,,30.76,13.07,10.51,4.47,,,0,0,50.29,21.37,,,16.01,6.8,,,84.7,36,,,48.82,20.75,26.4,11.22,0,0,,,3.5,1.49,29.73,12.64,22.83,9.7,24.12,10.25
183,11.66,1000,120,11.28,500,60,9.51,250,12,11.49,1000,36,10.49,500,12,8.49,250,3,14.08,6,2604.87,1109.18,763.39,325.06,6.4668,44.74,19.05,,,,,11.12,4.73,7.93,3.38,6.45,2.75,7.05,3,21.92,9.33,,,10.76,4.58,,,3.5,1.49,,,12.95,5.51,39.48,16.81,23.72,10.1,34.2,14.56,101.28,43.13,21.43,9.13,,,,,,,,,33.65,14.33,10.79,4.59,,,0,0,51.9,22.1,,,15.76,6.71,,,89.83,38.25,,,50.2,21.38,27.74,11.81,0,0,,,3.46,1.47,28.73,12.23,21.75,9.26,24.29,10.34
