tick,bonds.long.interest,bonds.long.minimum,bonds.long.term,bonds.mid.interest,bonds.mid.minimum,bonds.mid.term,bonds.short.interest,bonds.short.minimum,bonds.short.term,cds.long.interest,cds.long.minimum,cds.long.term,cds.mid.interest,cds.mid.minimum,cds.mid.term,cds.short.interest,cds.short.minimum,cds.short.term,crop.adjusted,crop.value,fund.adjusted,fund.value,gold.adjusted,gold.value,savings.rate,stocks.1595.adjusted,stocks.1595.value,stocks.1667.adjusted,stocks.1667.value,stocks.1671.adjusted,stocks.1671.value,stocks.1673.adjusted,stocks.1673.value,stocks.1675.adjusted,stocks.1675.value,stocks.1677.adjusted,stocks.1677.value,stocks.1679.adjusted,stocks.1679.value,stocks.1681.adjusted,stocks.1681.value,stocks.1683.adjusted,stocks.1683.value,stocks.1685.adjusted,stocks.1685.value,stocks.1687.adjusted,stocks.1687.value,stocks.1689.adjusted,stocks.1689.value,stocks.1691.adjusted,stocks.1691.value,stocks.1693.adjusted,stocks.1693.value,stocks.1695.adjusted,stocks.1695.value,stocks.1699.adjusted,stocks.1699.value,stocks.1701.adjusted,stocks.1701.value,stocks.1703.adjusted,stocks.1703.value,stocks.1705.adjusted,stocks.1705.value,stocks.232.adjusted,stocks.232.value,stocks.280.adjusted,stocks.280.value,stocks.282.adjusted,stocks.282.value,stocks.283.adjusted,stocks.283.value,stocks.284.adjusted,stocks.284.value,stocks.287.adjusted,stocks.287.value,stocks.288.adjusted,stocks.288.value,stocks.289.adjusted,stocks.289.value,stocks.290.adjusted,stocks.290.value,stocks.291.adjusted,stocks.291.value,stocks.292.adjusted,stocks.292.value,stocks.297.adjusted,stocks.297.value,stocks.298.adjusted,stocks.298.value,stocks.300.adjusted,stocks.300.value,stocks.301.adjusted,stocks.301.value,stocks.302.adjusted,stocks.302.value,stocks.303.adjusted,stocks.303.value,stocks.304.adjusted,stocks.304.value,stocks.305.adjusted,stocks.305.value,stocks.306.adjusted,stocks.306.value,stocks.307.adjusted,stocks.307.value,stocks.45.adjusted,stocks.45.value
347,4.67,1000,120,4.43,500,60,4.46,250,12,8.14,1000,36,7.14,500,12,5.14,250,3,3.49,2.29,1778.61,1163.63,445.83,291.68,3.0774,214.98,140.65,75.6,49.46,86.74,56.75,28.37,18.56,19.2,12.56,24.1,15.77,28.87,18.89,31.81,20.81,58.78,38.46,56.27,36.81,25.41,16.63,32.94,21.55,26.23,17.16,39.55,25.88,20.35,13.31,112.79,73.79,54.26,35.5,183.42,120,6.88,4.5,124.96,81.75,45.63,29.85,46.41,30.36,61.95,40.53,83.6,54.7,49.53,32.41,55.41,36.25,65.53,42.88,372.57,243.75,15.41,10.08,13.02,8.52,73.75,48.25,89.42,58.5,33.77,22.09,71.46,46.75,69.45,45.44,19.3,12.63,14.68,9.6,4.08,2.67,65.48,42.84,62.1,40.63,61.38,40.16
348,4.65,1000,120,4.56,500,60,4.53,250,12,7.89,1000,36,6.89,500,12,4.89,250,3,3.26,2.13,1879.58,1231.93,437.99,287.07,2.5368,240.34,157.53,79.24,51.94,76.67,50.25,26.32,17.25,16.78,11,22.32,14.63,29.73,19.48,32.23,21.13,56.77,37.21,61.22,40.13,24.98,16.38,33.39,21.88,26.39,17.3,39.73,26.04,22.31,14.63,112.47,73.72,57.31,37.56,184.52,120.94,6.58,4.31,142.46,93.38,51.91,34.02,48.84,32.01,64.22,42.09,85.45,56,46.53,30.5,56.64,37.13,68.66,45,382.86,250.94,15.38,10.08,13.42,8.8,80.86,53,87.35,57.25,40.29,26.41,71.61,46.94,63.37,41.53,20.07,13.16,15.23,9.98,4.23,2.77,66.49,43.58,48.54,31.81,56.12,36.78
349,4.75,1000,120,4.65,500,60,4.58,250,12,7.9,1000,36,6.9,500,12,4.9,250,3,3.29,2.16,1952.37,1279.64,438.38,287.33,2.9312,246.5,161.56,81.81,53.62,75.9,49.75,31.94,20.94,16.88,11.06,20.1,13.17,32.23,21.13,31.66,20.75,51.62,33.83,57.98,38,21.66,14.2,32.15,21.07,29.34,19.23,41.96,27.5,19.02,12.47,133.06,87.21,68.28,44.75,177.36,116.25,10.39,6.81,140.75,92.25,53.37,34.98,51.09,33.49,64.75,42.44,82.2,53.88,50.83,33.31,53.45,35.03,76.67,50.25,429.11,281.25,18.94,12.42,10.47,6.86,82.48,54.06,87.16,57.13,48.82,32,66.85,43.81,62.84,41.19,18.5,12.13,17.36,11.38,4.3,2.82,61.69,40.43,52.92,34.69,59.5,39
350,5.4,1000,120,5.32,500,60,4.91,250,12,7.91,1000,36,6.91,500,12,4.91,250,3,3.22,2.11,1888.2,1238.33,436.03,285.96,2.8478,225,147.56,78.16,51.26,71.67,47,30.73,20.16,14.49,9.5,19.92,13.07,30.66,20.11,31.26,20.5,59.66,39.13,57.75,37.88,19.62,12.86,31.19,20.45,28.94,18.98,40.03,26.25,14.25,9.34,128.03,83.97,61.85,40.56,174.4,114.38,7.53,4.94,129.23,84.75,50.89,33.38,49.23,32.29,64.61,42.38,75.59,49.58,49.79,32.66,50.56,33.16,73.57,48.25,453.15,297.19,20.2,13.25,9.46,6.21,80.43,52.75,88.06,57.75,48.03,31.5,63.47,41.63,64.52,42.31,20.97,13.75,14.1,9.25,3.93,2.58,63.63,41.73,54.13,35.5,56.37,36.97
351,5.27,1000,120,5.15,500,60,4.73,250,12,7.88,1000,36,6.88,500,12,4.88,250,3,3.36,2.22,1948.44,1286.37,428.08,282.62,2.5542,211.79,139.82,70.07,46.26,75.73,50,31.05,20.5,15.34,10.13,19.14,12.63,28.61,18.89,31.34,20.69,63.68,42.04,53.87,35.56,18.84,12.44,31.66,20.9,27.25,17.99,42.6,28.13,11.79,7.78,135.63,89.55,66.74,44.06,176.08,116.25,7.01,4.63,134.29,88.66,56.04,37,47.45,31.32,70.62,46.63,72.62,47.94,53.39,35.25,53.25,35.16,69.68,46,488.49,322.5,23.35,15.42,12.37,8.16,73.27,48.38,84.06,55.5,51.4,33.94,59.92,39.56,74.88,49.44,30.58,20.19,15.81,10.44,4.43,2.92,63.95,42.22,51.5,34,53.77,35.5
352,5.36,1000,120,5.24,500,60,4.78,250,12,7.92,1000,36,6.92,500,12,4.92,250,3,3.3,2.18,2032.74,1342.83,418.47,276.44,2.7724,227.86,150.53,79.73,52.67,86.1,56.88,26.92,17.78,15.99,10.56,20.6,13.61,28.19,18.63,31.79,21,69.76,46.08,60.17,39.75,18.8,12.42,32.36,21.38,26.31,17.38,44.47,29.38,12.54,8.28,145.25,95.95,71.15,47,227.07,150,6.91,4.56,157.81,104.25,55.25,36.5,54.64,36.1,74.7,49.34,73.89,48.81,55.06,36.38,63.77,42.13,84.77,56,578.54,382.19,29.27,19.33,13.94,9.21,84.58,55.88,83.26,55,50.38,33.28,62.35,41.19,85.53,56.5,32.12,21.22,16.7,11.03,5.28,3.49,83.97,55.47,61.5,40.63,66.98,44.25
353,5.78,1000,120,5.74,500,60,5.09,250,12,8.13,1000,36,7.13,500,12,5.13,250,3,3.27,2.16,1970.69,1301.84,395.56,261.31,3.2576,224.37,148.22,74.53,49.24,90.35,59.69,27.25,18,16.94,11.19,19.61,12.96,30.56,20.19,34.91,23.06,65.19,43.06,54.87,36.25,20.48,13.53,30.75,20.31,26.54,17.53,46.93,31,14.05,9.28,150.73,99.57,69.63,46,212.87,140.63,7.1,4.69,172,113.63,51.53,34.04,47.94,31.67,69.96,46.22,79.33,52.41,49.1,32.44,60.27,39.81,79.66,52.63,498.13,329.06,24.6,16.25,13.4,8.85,77.77,51.38,82.31,54.38,48.16,31.81,65.57,43.31,82.03,54.19,28.62,18.91,17.15,11.33,4.6,3.04,75.48,49.86,63.67,42.06,64.71,42.75
354,5.85,1000,120,5.73,500,60,5.09,250,12,8.24,1000,36,7.24,500,12,5.24,250,3,3.14,2.08,2069.24,1372.71,386.02,256.08,3.0031,233.86,155.14,85.41,56.66,88.94,59,25.25,16.75,16.11,10.69,19.94,13.23,30.29,20.09,34.11,22.63,59.73,39.63,54.55,36.19,19.82,13.15,30.37,20.14,24.82,16.47,44.91,29.79,13.33,8.84,172.37,114.35,74.24,49.25,251.55,166.88,6.97,4.63,195.96,130,56.31,37.35,47.63,31.6,73.39,48.69,71.45,47.4,55.26,36.66,58.13,38.56,80.65,53.5,537.72,356.72,25.88,17.17,14.61,9.69,86.68,57.5,84.79,56.25,50.31,33.38,56.62,37.56,83.47,55.38,32.69,21.69,16.68,11.06,4.22,2.8,74.89,49.68,66.33,44,64.82,43
355,5.92,1000,120,5.82,500,60,5.13,250,12,8.41,1000,36,7.41,500,12,5.41,250,3,3.06,2.03,2016.65,1341.03,386.01,256.69,3.4884,196.4,130.6,88.33,58.74,82.33,54.75,23.73,15.78,15.88,10.56,18.43,12.26,31.65,21.05,29.23,19.44,56.58,37.63,53.95,35.88,17.81,11.84,29.32,19.5,28.21,18.76,44.27,29.44,13.16,8.75,164.59,109.45,74.06,49.25,270.69,180,6.58,4.38,189.39,125.94,56.05,37.27,42.77,28.44,70.16,46.66,68.9,45.82,51.41,34.19,59.26,39.41,39.1,26,517.4,344.06,25.06,16.67,13.57,9.02,84.87,56.44,89.48,59.5,50.24,33.41,53.2,35.38,87.6,58.25,32.28,21.47,15.79,10.5,4.44,2.95,76.93,51.16,68.05,45.25,68.24,45.38
356,5.99,1000,120,5.88,500,60,5.3,250,12,8.5,1000,36,7.5,500,12,5.5,250,3,3.31,2.21,1977.36,1320.41,396.46,264.74,2.756,189.41,126.48,82.57,55.14,84.24,56.25,21.11,14.09,14.51,9.69,17.66,11.79,31.17,20.81,23.96,16,49.79,33.25,49.98,33.38,19.66,13.13,29.03,19.39,27.25,18.2,44.86,29.96,15.58,10.41,166.61,111.25,70.76,47.25,248.5,165.94,9.55,6.38,188.13,125.63,56.28,37.58,42.9,28.65,76.56,51.13,75.06,50.12,45.21,30.19,59.15,39.5,32.76,21.88,499.1,333.28,25.96,17.33,13.87,9.26,71.88,48,86.3,57.63,43.38,28.97,54.38,36.31,84.24,56.25,25.27,16.88,14.58,9.73,4.21,2.81,71.26,47.58,67.86,45.31,70.81,47.28
